"ID","Issue","Product","Type","Status","Title","Impact","Source","Date reported","HighLevel response","URL"
"AFFILIATE-001","1","Affiliate / SaaS Mode","Billing","New","Credit affiliate earnings to sub-account wallets","Not assessed","D:\Zoom\2026-08-11 18.53.21 Product Town Hall\meeting_saved_new_chat.txt","2026-08-11","No direct response or implementation established.","https://github.com/IvoDimitrovPro/GHL-Feedback-Hub-Starter/issues/1"
"AI-001","2","Ask AI","Feature","Acknowledged","Let Ask AI use a managed Knowledge Base","High","D:\Zoom\2026-05-08 19.05.03 Product Town Hall\meeting_saved_new_chat.txt; D:\Zoom\2026-06-15 17.58.36 Product Town Hall\meeting_saved_new_chat.txt; D:\Zoom\2026-08-06 17.59.23 Product Town Hall\meeting_saved_new_chat.txt","2026-05-08","HighLevel agreed that shared Knowledge Base access is a proper direction. Current Split View documentation describes page context on supported pages, but does not establish all requested sources.","https://github.com/IvoDimitrovPro/GHL-Feedback-Hub-Starter/issues/2"
"AI-006","67","Ask AI","UX","New","Preserve language preference and make page context controllable","High","D:\Zoom\2026-05-08 19.05.03 Product Town Hall\meeting_saved_new_chat.txt; D:\Zoom\2026-06-15 17.58.36 Product Town Hall\meeting_saved_new_chat.txt; D:\Zoom\2026-08-06 17.59.23 Product Town Hall\meeting_saved_new_chat.txt","2026-05-08","Ask AI Split View documentation describes page context on supported pages, but platform-wide language behavior and all requested context controls are not verified.","https://github.com/IvoDimitrovPro/GHL-Feedback-Hub-Starter/issues/67"
"AI-002","3","Ask AI / AI Studio","Transparency","New","Show AI usage, model, limits, and predictable pricing","Not assessed","D:\Zoom\2026-06-05 18.59.59 Product Town Hall\meeting_saved_new_chat.txt","2026-06-05","No complete matching view confirmed.","https://github.com/IvoDimitrovPro/GHL-Feedback-Hub-Starter/issues/3"
"AI-005","6","Ask AI / AI Studio","Account controls","New","Add safer account-wide AI defaults and opt-in migration controls","Not assessed","D:\Zoom\2026-05-01 17.41.46 Product Town Hall\meeting_saved_new_chat.txt","2026-05-01","Bulk opt-in and trial safeguards were not confirmed solved.","https://github.com/IvoDimitrovPro/GHL-Feedback-Hub-Starter/issues/6"
"AI-003","4","Ask AI / API","Integrations","New","Let external AI tools hand work into HighLevel builders","Not assessed","D:\Zoom\2026-06-15 17.58.36 Product Town Hall\meeting_saved_new_chat.txt","2026-06-15","No direct implementation status established.","https://github.com/IvoDimitrovPro/GHL-Feedback-Hub-Starter/issues/4"
"AI-004","5","Ask AI / Courses","Reliability","New","Preserve course content and structure in Ask AI imports","Medium","D:\Zoom\2026-07-13 18.51.54 Product Town Hall\meeting_saved_new_chat.txt; D:\Zoom\2026-08-20 18.52.57 Product Town Hall\meeting_saved_new_chat.txt","2026-07-13","A text-file workflow worked in one follow-up; course/video import behavior was not established as fixed. Capture reproducible examples before escalating as a defect.","https://github.com/IvoDimitrovPro/GHL-Feedback-Hub-Starter/issues/5"
"EMAIL-004","68","Ask AI / Email","Reliability","New","Do not silently generate empty email subject or body fields","Medium","D:\Zoom\2026-07-13 18.51.54 Product Town Hall\meeting_saved_new_chat.txt","2026-07-13","No fix was verified in the matched source. Keep the item open until a reproducible example confirms the current behavior.","https://github.com/IvoDimitrovPro/GHL-Feedback-Hub-Starter/issues/68"
"BUILDER-001","7","Builders","UX","New","Make builder controls consistent and reliable","Not assessed","D:\Zoom\2026-05-08 19.05.03 Product Town Hall\meeting_saved_new_chat.txt","2026-05-08","No blanket fix documented; the source index groups related recurring builder UX feedback.","https://github.com/IvoDimitrovPro/GHL-Feedback-Hub-Starter/issues/7"
"MR-103","49","Calendars","Feature","Planned","Use native Meeting Room sessions in Calendars","Not assessed","D:\IvoDimitrov-Universe\Brain\AI-chats\ChatGPT\Обратна-връзка-за-Meeting-room_2026_09_25__1244.md","2026-09-25","HighLevel included Calendar sessions in its plan; shipping is unverified.","https://github.com/IvoDimitrovPro/GHL-Feedback-Hub-Starter/issues/49"
